"SCALE(3-1),SKIP_UPSCALING(false-true)",-,30.85
SCALE(3-1),+,30.74
"DRY_RUN(false-true),SCALE(3-1)",-,30.74
"PLATFORM(android-ios),SCALE(3-1)",-,11.83
DRY_RUN(false-true),-,3.36
"ANDROID_INCLUDE_LDPI_TVDPI(false-true),SCALE(3-1)",+,2.80
PLATFORM(android-ios),-,1.89
"DRY_RUN(false-true),PLATFORM(android-ios)",+,1.89
SKIP_UPSCALING(false-true),-,1.64
"PLATFORM(android-ios),SKIP_UPSCALING(false-true)",+,1.64
"DRY_RUN(false-true),SKIP_UPSCALING(false-true)",+,1.64
ANDROID_INCLUDE_LDPI_TVDPI(false-true),+,0.21
"ANDROID_INCLUDE_LDPI_TVDPI(false-true),PLATFORM(android-ios)",-,0.21
"ANDROID_INCLUDE_LDPI_TVDPI(false-true),DRY_RUN(false-true)",-,0.21
"ANDROID_MIPMAP_INSTEAD_OF_DRAWABLE(false-true),SCALE(3-1)",+,0.20