"ANTI_ALIASING(false-true),SCALE(3-1)",+,13.41
"SCALE(3-1),SKIP_UPSCALING(false-true)",-,6.15
SCALE(3-1),+,6.78
"DRY_RUN(false-true),SCALE(3-1)",-,6.78
"PLATFORM(android-ios),SCALE(3-1)",-,2.87
ANTI_ALIASING(false-true),+,1.58
"ANTI_ALIASING(false-true),DRY_RUN(false-true)",-,1.58
"ANTI_ALIASING(false-true),PLATFORM(android-ios)",-,0.90
"ANTI_ALIASING(false-true),SKIP_UPSCALING(false-true)",-,0.79
"ANDROID_INCLUDE_LDPI_TVDPI,SCALE(3-1)",-,0.53
DRY_RUN(false-true),-,0.31
PLATFORM(android-ios),-,0.18
"DRY_RUN(false-true),PLATFORM(android-ios)",+,0.18
SKIP_UPSCALING(false-true),-,0.16
"PLATFORM(android-ios),SKIP_UPSCALING(false-true)",+,0.16
"DRY_RUN(false-true),SKIP_UPSCALING(false-true)",+,0.16