"SCALE(3-1),SKIP_UPSCALING(false-true)",-,99.32
SCALE(3-1),+,95.30
"DRY_RUN(false-true),SCALE(3-1)",-,95.30
"PLATFORM(android-ios),SCALE(3-1)",-,44.99
"ANDROID_INCLUDE_LDPI_TVDPI(false-true),SCALE(3-1)",+,14.90
DRY_RUN(false-true),-,9.46
"ANDROID_MIPMAP_INSTEAD_OF_DRAWABLE(false-true),SCALE(3-1)",+,7.96
PLATFORM(android-ios),-,6.46
"DRY_RUN(false-true),PLATFORM(android-ios)",+,6.46
SKIP_UPSCALING(false-true),-,5.44
"PLATFORM(android-ios),SKIP_UPSCALING(false-true)",+,5.44
"DRY_RUN(false-true),SKIP_UPSCALING(false-true)",+,5.44
ANDROID_INCLUDE_LDPI_TVDPI(false-true),+,1.46
"ANDROID_INCLUDE_LDPI_TVDPI(false-true),PLATFORM(android-ios)",-,1.46
"ANDROID_INCLUDE_LDPI_TVDPI(false-true),DRY_RUN(false-true)",-,1.46
"ANDROID_INCLUDE_LDPI_TVDPI(false-true),ANDROID_MIPMAP_INSTEAD_OF_DRAWABLE(false-true)",-,0.20
"ANDROID_MIPMAP_INSTEAD_OF_DRAWABLE(false-true),SKIP_UPSCALING(false-true)",-,0.15
ANDROID_MIPMAP_INSTEAD_OF_DRAWABLE(false-true),+,0.14
"ANDROID_MIPMAP_INSTEAD_OF_DRAWABLE(false-true),DRY_RUN(false-true)",-,0.14
"ANDROID_MIPMAP_INSTEAD_OF_DRAWABLE(false-true),PLATFORM(android-ios)",-,0.14